@relation DNF9_test

@attribute f0 {0,1}
@attribute f1 {0,1}
@attribute f2 {0,1}
@attribute f3 {0,1}
@attribute f4 {0,1}
@attribute f5 {0,1}
@attribute f6 {0,1}
@attribute f7 {0,1}
@attribute class {0,1}

@data
1,0,0,0,0,0,0,1,0
1,1,0,0,1,0,1,1,0
1,1,1,0,0,1,0,0,0
0,0,1,1,0,1,1,1,0
1,0,0,1,0,1,0,1,0
1,0,1,0,0,1,1,0,0
1,1,0,0,0,0,1,1,0
1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0
0,1,0,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0
1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,1,1,0
1,0,1,0,1,0,0,0,0
0,0,0,1,1,0,1,0,0
0,0,0,0,1,1,1,0,0
1,1,1,1,1,0,0,0,1
0,1,1,0,0,1,1,1,1
1,1,1,0,0,0,1,0,0
0,1,1,0,0,1,1,0,0
1,1,1,0,1,0,1,0,0
0,1,1,1,1,1,0,1,0
1,1,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,0
1,1,0,0,1,0,1,0,0
0,1,1,0,0,0,1,1,0
1,1,0,1,0,1,0,1,0
1,1,1,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0
0,1,1,1,0,1,1,1,1
1,1,1,0,1,1,0,1,0
0,1,1,1,0,1,1,0,0
0,1,0,1,0,0,0,1,0
0,0,0,0,1,1,1,1,0
1,1,1,1,1,1,1,0,1
0,1,1,1,0,1,1,0,0
1,1,1,1,0,0,1,0,0
0,0,0,1,0,0,1,1,0
1,0,0,1,1,1,0,0,0
0,1,1,1,0,0,0,0,0
1,1,0,0,1,1,0,1,0
1,1,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0
0,1,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,0
1,0,1,1,1,0,0,0,0
1,0,1,0,1,0,0,1,0
0,1,0,0,1,0,1,0,0
1,0,0,0,0,1,1,0,0
0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0
0,0,1,0,0,0,1,1,0
0,1,0,0,1,1,0,0,0
0,1,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0
0,0,0,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0
0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,0,0
0,0,0,1,1,0,1,1,0
0,1,1,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,0,1,0
0,0,0,1,1,1,0,0,0
1,0,1,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0,1
1,1,1,1,0,1,1,1,0
0,1,1,0,1,0,1,0,0
0,0,0,1,1,0,1,1,0
0,0,1,1,0,1,1,1,0
1,1,0,0,0,1,0,1,0
0,0,1,1,0,1,1,0,0
1,0,1,1,0,1,0,1,0
0,0,0,1,1,0,1,0,0
0,1,1,1,0,0,0,1,0
1,1,0,1,0,1,0,1,0
0,0,0,1,1,1,1,0,0
1,1,0,0,0,0,1,1,0
0,0,0,1,1,1,1,0,0
1,0,1,1,0,0,0,0,0
0,0,0,1,1,1,0,1,0
1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0
1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,1,0,0
1,0,1,0,1,0,0,0,0
1,0,1,0,1,0,1,0,0
1,0,1,1,0,1,0,0,0
1,1,1,0,1,0,1,1,0
1,0,0,0,0,0,0,1,0
1,1,0,1,1,0,1,1,0
1,1,1,1,1,1,1,0,1
1,0,1,0,1,0,0,1,0
1,0,1,1,0,1,1,1,0
1,1,1,0,1,1,1,1,0
1,1,1,0,0,1,1,0,0
0,1,0,1,1,0,0,1,0
0,1,1,1,1,1,1,0,0
0,1,0,1,1,1,1,1,1
1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,1,0
1,1,0,1,0,1,0,1,0
1,1,1,1,1,0,0,0,1
0,0,1,0,0,0,1,1,0
0,0,1,1,0,0,1,0,0
0,0,1,0,1,0,1,0,0
0,1,0,0,0,1,1,1,1
0,0,0,1,1,1,1,1,0
0,1,1,1,0,1,0,0,0
1,1,0,1,0,0,0,1,0
0,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,1,1
0,0,0,0,1,0,0,0,0
0,0,1,0,0,1,0,0,0
0,1,0,1,1,1,0,1,0
0,0,0,1,1,0,1,0,0
0,0,1,0,0,1,0,1,0
0,0,1,0,0,0,1,0,0
1,0,1,1,1,0,1,1,0
1,1,1,0,1,0,1,1,0
0,1,0,0,1,1,1,0,0
0,1,1,0,1,1,1,1,1
1,1,0,1,1,1,0,0,0
0,0,1,1,0,1,1,1,0
0,0,1,0,0,0,1,1,0
0,1,1,1,1,0,1,0,0
1,1,1,1,0,1,1,0,0
1,1,1,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,1,0
1,0,1,1,1,0,0,1,0
0,0,0,0,0,1,1,1,0
1,1,1,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0
0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0
1,1,0,1,1,1,0,1,0
0,1,0,0,0,0,1,0,0
1,0,1,1,0,1,0,0,0
1,1,0,0,1,1,0,1,0
1,0,1,0,0,1,1,0,0
1,1,0,1,1,1,1,0,0
0,0,0,1,1,1,0,0,0
0,0,1,0,1,1,1,1,0
0,1,1,0,0,0,1,1,0
0,1,0,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1
0,0,0,1,0,0,0,1,0
1,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0
1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0
0,0,1,0,1,0,1,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,1,0
1,1,1,1,0,0,0,0,0
0,0,0,1,1,1,1,0,0
1,0,0,1,0,1,1,0,0
0,1,0,1,1,1,1,0,0
1,1,1,1,0,1,0,1,0
1,0,1,1,0,0,1,0,0
0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0
1,0,0,1,0,1,1,0,0
1,0,0,0,1,1,1,0,0
0,1,0,1,0,0,0,1,0
0,1,1,0,1,1,1,1,1
0,0,1,0,1,1,1,1,0
1,1,0,0,1,1,0,0,0
1,1,1,1,0,0,1,1,0
1,1,1,1,0,0,1,0,0
0,1,1,0,0,0,1,1,0
1,0,1,0,1,1,1,1,0
1,1,1,1,0,1,1,0,0
0,1,1,0,0,1,0,0,0
1,0,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0
0,1,1,1,0,1,0,1,0
0,1,0,1,0,1,1,0,0
1,0,1,1,0,0,0,0,0
0,1,1,0,0,1,1,0,0
0,0,1,0,1,1,1,0,0
1,0,1,1,1,0,0,1,0
1,0,0,1,1,1,0,1,0
0,0,1,1,1,0,0,1,0
1,0,1,1,0,0,0,0,0
1,0,1,1,1,1,1,0,0
1,0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,0,0
0,1,0,0,1,1,0,1,0
1,0,1,0,0,0,1,1,0
1,1,0,1,0,1,1,1,0
0,0,0,0,0,1,1,1,0
%
