@relation DNF9_train

@attribute region {1,2,3,4}
@attribute f1 {0,1}
@attribute f2 {0,1}
@attribute f3 {0,1}
@attribute f4 {0,1}
@attribute f5 {0,1}
@attribute f6 {0,1}
@attribute f7 {0,1}
@attribute f8 {0,1}
@attribute N0 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute N3 numeric
@attribute N4 numeric
@attribute N5 numeric
@attribute N6 numeric
@attribute N7 numeric
@attribute N8 numeric
@attribute N9 numeric
@attribute class {0,1}

@data
4,1,1,1,0,0,0,1,0,80,13,60,70,13,77,47,89,56,3,0
2,0,1,0,0,0,0,0,0,62,46,40,98,41,54,25,20,43,73,0
4,0,1,0,1,0,1,1,1,88,91,37,96,44,9,94,48,9,39,1
3,1,1,1,1,1,0,0,1,8,20,92,5,96,81,97,29,40,82,0
2,1,0,0,0,0,0,0,1,16,23,79,11,7,96,43,58,52,8,0
1,0,0,1,1,1,1,0,0,56,1,50,30,99,30,22,34,69,42,0
4,1,0,1,1,0,1,0,1,68,97,42,24,1,74,42,23,28,96,0
4,1,0,0,0,0,0,1,1,71,51,79,50,79,8,60,49,11,50,1
1,1,1,1,0,0,0,1,0,69,1,19,34,15,86,42,83,69,96,1
4,0,0,0,0,0,0,0,1,61,24,33,19,42,94,24,87,0,64,0
2,1,1,0,1,1,1,1,1,35,32,88,68,49,76,91,78,11,40,0
3,0,0,1,1,1,1,0,1,9,71,20,70,22,8,78,74,82,38,1
4,1,1,0,0,1,1,0,0,21,84,66,54,41,74,10,85,51,92,0
2,0,1,0,1,0,0,1,0,10,86,85,83,25,9,61,61,64,89,0
2,1,0,1,0,0,0,1,1,44,93,45,94,40,20,41,11,5,24,0
3,0,0,1,1,0,1,0,1,31,24,32,70,78,2,48,65,62,68,0
3,1,1,1,1,0,1,1,0,55,4,21,49,21,52,28,84,75,15,0
3,1,0,1,0,0,1,1,1,53,12,84,96,4,62,31,72,23,73,0
1,1,1,1,1,0,0,1,0,9,44,86,15,44,13,92,88,98,49,1
3,0,0,0,0,0,1,1,1,13,68,51,58,95,93,55,26,17,11,0
3,1,0,0,1,1,0,1,1,46,19,59,72,24,9,88,20,99,86,0
3,0,0,1,0,1,0,1,0,22,48,59,12,72,3,25,89,31,19,0
1,0,1,0,1,1,0,1,0,68,36,49,42,24,27,51,83,55,54,0
4,0,0,1,0,1,1,1,1,94,33,34,29,21,15,71,4,9,35,1
3,1,1,0,1,0,1,1,1,49,37,81,41,60,1,90,44,38,87,0
4,0,0,1,1,0,1,1,0,27,73,87,67,9,90,12,43,16,24,0
2,1,0,1,0,0,1,1,0,61,60,24,33,38,80,1,75,76,50,0
4,0,1,0,1,0,0,1,0,55,1,71,31,94,63,56,89,38,45,0
4,1,1,1,1,1,1,1,1,51,35,13,78,32,52,72,77,1,50,1
4,0,0,0,0,0,1,1,0,83,60,68,97,43,39,2,9,46,23,0
2,1,0,0,0,0,0,0,0,8,70,45,87,96,78,15,40,42,60,0
2,0,1,1,1,1,1,0,0,95,23,71,92,60,74,74,26,24,74,1
4,0,0,1,0,0,1,1,0,16,85,50,6,50,77,70,38,15,18,0
3,0,0,0,0,0,1,1,1,67,76,42,66,63,28,65,59,3,49,0
1,0,1,1,1,1,1,1,0,33,87,3,9,0,30,58,51,2,66,0
4,0,1,1,1,1,1,1,1,75,47,29,26,76,18,76,15,35,14,1
1,1,0,0,1,0,1,0,0,23,55,73,14,79,68,72,80,64,15,0
3,0,1,1,0,0,0,1,1,9,79,46,86,92,65,18,58,29,38,0
1,0,0,1,0,0,0,0,1,10,1,38,73,63,56,71,99,6,55,0
4,0,1,1,1,1,0,1,0,42,60,0,19,45,60,64,93,4,12,0
1,0,0,1,1,0,1,0,0,37,90,20,47,53,39,28,28,64,91,0
1,1,0,0,0,0,0,1,0,7,95,31,51,26,26,84,12,64,87,0
3,1,0,0,0,0,0,1,0,61,69,63,79,21,72,54,76,50,0,0
4,0,1,1,0,1,0,1,0,89,6,81,91,55,65,5,21,94,91,0
4,1,0,0,1,0,1,0,1,90,46,36,56,40,59,33,84,77,10,0
3,1,1,0,1,1,1,1,1,63,61,16,93,71,1,13,58,9,45,1
4,1,1,1,1,0,1,1,0,52,74,41,37,36,69,23,6,54,59,0
1,1,1,0,1,1,0,0,0,94,44,99,22,49,97,70,38,25,9,1
1,1,1,1,0,1,1,0,0,68,15,36,95,48,86,74,3,88,86,1
4,0,1,1,1,1,0,0,0,90,92,12,58,63,20,60,34,41,55,0
2,0,0,0,1,1,1,0,0,61,20,81,1,11,32,92,13,57,41,0
4,0,0,0,0,0,1,0,0,0,32,88,57,31,72,80,36,35,14,0
3,0,0,1,1,0,0,0,0,38,32,74,41,33,61,33,78,54,65,0
4,1,1,0,1,0,1,1,1,59,18,30,68,2,67,64,75,68,84,1
2,0,1,0,0,0,1,1,1,36,86,27,74,47,96,1,49,2,22,0
4,0,0,1,0,1,0,1,0,49,64,30,33,54,73,21,32,11,88,0
2,0,1,1,1,1,0,1,0,36,65,84,30,55,56,24,3,30,6,1
1,0,0,0,0,1,1,1,0,17,19,30,72,0,61,37,42,71,91,0
3,1,0,0,0,1,0,1,0,10,34,97,13,2,60,7,85,6,16,0
4,0,1,0,0,1,1,1,0,39,70,82,72,58,43,68,6,6,50,0
1,1,0,0,0,0,1,0,0,48,55,95,55,35,80,77,66,92,93,0
3,0,1,1,0,0,1,0,0,43,57,35,76,81,42,56,79,95,70,0
3,1,0,0,1,1,0,1,1,30,68,38,85,13,38,57,39,86,37,0
4,1,1,0,0,1,1,1,1,45,68,44,53,45,58,44,97,75,68,1
1,1,1,1,1,0,1,1,1,7,56,48,5,61,87,10,35,27,81,1
3,0,0,1,0,1,0,1,0,28,86,77,78,44,14,2,15,24,71,0
3,1,0,1,0,0,0,1,0,50,1,55,14,27,59,80,12,10,21,0
2,1,1,0,0,0,0,1,1,72,77,27,30,42,73,48,28,82,96,0
4,0,0,0,0,1,1,0,1,75,59,68,85,1,35,35,31,60,83,0
4,1,0,0,1,1,0,1,1,1,12,62,51,41,52,63,16,62,38,1
3,0,1,1,0,1,1,0,1,16,67,64,37,91,83,44,97,56,55,1
1,1,1,0,0,1,1,0,0,79,67,69,90,47,50,71,56,65,58,1
4,0,0,1,1,1,0,0,1,54,11,24,24,93,28,90,4,29,86,0
3,1,0,0,0,0,1,1,0,33,85,54,82,65,21,45,81,50,26,0
1,1,1,1,1,0,1,1,0,24,90,85,96,57,56,34,73,47,40,1
4,1,0,1,0,1,0,0,0,99,64,92,58,26,36,56,67,7,84,0
2,0,0,0,1,0,1,1,0,34,95,44,59,85,7,43,93,51,67,0
4,1,0,1,1,1,0,0,1,42,0,66,13,70,91,81,74,26,72,0
2,1,0,0,1,0,1,0,0,74,78,58,45,40,48,32,76,1,53,0
2,1,0,0,1,1,0,0,0,30,73,6,13,54,50,22,86,89,17,0
3,0,0,1,1,1,1,0,1,21,8,65,53,92,4,0,86,4,2,1
4,0,0,0,1,1,1,0,1,14,11,25,10,20,43,7,52,8,84,0
4,0,0,1,0,1,0,1,1,48,57,74,63,85,31,63,42,19,49,1
1,1,0,1,1,1,1,1,0,80,15,88,17,92,96,28,36,46,94,0
2,0,1,1,0,1,1,0,0,8,23,76,22,35,55,53,88,95,87,0
1,0,0,0,1,0,0,0,0,8,52,23,86,92,18,56,89,29,87,0
3,0,1,1,0,1,0,0,0,33,8,60,25,18,33,55,87,20,0,0
2,1,0,0,1,0,1,1,0,79,12,76,78,22,41,23,89,13,81,0
3,1,1,0,0,0,1,1,1,93,23,44,80,22,48,10,28,85,55,0
3,1,1,1,0,0,1,0,1,27,6,73,94,71,96,2,10,57,42,0
1,1,0,0,0,1,1,0,1,38,28,67,64,17,18,64,53,51,95,0
4,0,0,1,1,1,1,0,1,81,12,39,32,89,1,35,60,75,22,0
4,0,0,1,0,1,0,1,0,59,94,70,20,72,50,14,95,45,83,0
1,1,0,1,1,1,1,1,1,13,97,33,66,4,7,58,5,22,36,0
1,0,0,0,0,1,1,1,0,5,45,23,92,37,21,83,92,44,38,0
4,1,1,1,1,1,0,1,0,32,41,77,92,52,83,15,10,99,19,0
1,1,1,0,1,0,0,1,1,92,66,85,60,46,41,13,48,35,41,1
1,1,0,0,0,1,0,0,1,58,88,12,46,40,90,72,92,72,43,0
4,1,0,1,1,0,1,0,0,14,53,77,41,68,41,40,87,18,31,0
3,0,1,1,1,1,0,0,1,48,30,46,89,14,9,96,22,25,4,0
4,0,1,1,1,0,0,0,0,73,66,16,2,71,17,72,22,15,64,0
3,1,1,1,1,1,1,1,0,81,73,41,0,3,47,73,53,27,78,1
2,0,1,1,0,0,0,0,0,12,99,61,75,25,46,37,9,86,20,0
4,1,0,0,0,0,1,0,0,83,66,6,79,49,2,39,43,69,16,0
4,1,1,0,1,1,0,1,1,71,13,46,52,36,20,3,15,77,57,1
3,1,0,0,0,0,0,0,0,55,96,48,1,64,97,12,96,54,95,0
3,0,1,1,1,1,1,0,0,14,96,42,54,37,85,66,47,57,82,1
1,1,1,0,0,0,0,0,1,18,30,48,30,11,26,78,45,39,22,1
1,0,0,1,0,1,1,1,1,73,2,35,47,65,42,72,97,41,10,0
4,0,0,1,0,0,1,0,1,6,31,52,33,19,71,83,88,38,86,0
4,1,1,1,1,0,1,0,1,24,76,94,42,17,66,87,71,29,63,0
1,1,1,1,0,1,0,1,1,14,57,45,66,60,21,7,44,92,2,1
4,0,1,0,1,1,1,1,0,57,52,99,80,38,23,94,24,63,59,0
4,1,0,0,0,0,0,1,1,37,51,35,53,98,68,40,79,65,41,1
3,1,0,1,0,1,0,0,1,63,62,28,57,57,32,3,40,70,62,0
4,1,1,0,0,0,0,1,0,98,59,56,46,65,46,19,10,55,37,0
2,0,1,0,0,0,1,1,1,87,57,49,48,77,42,69,95,44,86,0
1,1,1,0,0,1,1,1,0,42,4,26,46,11,80,70,55,51,51,1
1,1,1,1,1,1,1,0,0,99,16,2,94,20,38,46,55,98,67,1
4,0,0,1,0,0,1,0,1,76,60,29,3,8,9,56,21,77,85,0
3,0,0,0,1,1,0,0,1,95,92,86,23,98,94,15,3,74,5,0
1,1,1,1,1,1,1,1,1,92,43,32,90,14,34,41,2,60,76,1
4,1,0,1,0,1,1,1,0,68,30,29,44,39,57,3,67,68,96,0
4,0,0,1,0,1,0,0,1,88,20,24,35,96,70,76,99,0,69,0
4,0,0,0,0,1,0,1,0,61,3,6,67,61,50,69,90,29,25,0
4,0,1,1,0,0,0,0,0,44,40,63,51,89,23,71,35,80,53,0
4,1,0,1,1,0,1,0,0,80,16,20,72,27,82,20,42,24,39,0
2,0,1,1,0,0,0,1,0,81,71,58,29,45,55,8,13,21,53,0
1,0,0,1,1,0,0,1,0,15,75,36,89,99,89,82,11,41,25,0
3,0,0,0,1,1,0,0,0,99,79,45,70,13,9,89,23,64,62,0
1,0,0,0,0,1,1,0,0,57,78,21,91,70,80,54,27,38,83,0
2,0,0,0,0,0,0,0,1,98,46,78,74,84,46,87,26,81,87,0
1,1,0,0,1,0,0,1,0,44,47,6,27,37,28,11,55,11,11,0
1,0,1,0,0,0,0,0,1,27,89,77,41,36,64,85,4,94,90,0
1,1,1,1,0,1,1,1,1,8,19,15,28,15,72,71,66,68,42,1
2,0,1,1,0,1,0,0,0,91,28,40,29,39,49,19,33,21,79,0
4,1,0,0,1,1,0,1,1,74,9,41,21,36,26,95,84,57,18,1
2,0,1,1,0,1,1,0,1,41,15,61,76,76,35,29,45,89,65,0
2,1,1,1,1,0,1,0,1,50,62,94,39,47,59,28,87,82,65,1
3,0,1,1,0,0,0,1,1,16,55,58,83,20,84,73,16,96,32,0
1,1,0,0,1,1,0,1,1,86,82,86,53,81,16,97,48,56,62,0
2,1,1,0,1,1,1,0,0,96,48,36,17,59,90,32,53,42,0,0
1,1,0,0,0,0,1,1,0,3,50,6,7,24,17,24,64,11,16,0
2,1,1,0,1,1,0,1,0,39,33,72,91,73,70,79,61,46,18,0
2,0,1,0,0,0,0,1,0,39,64,12,86,49,63,67,5,72,79,0
