@relation mushroom

@attribute color {YELLOW,PURPLE}
@attribute size {LARGE,SMALL}
@attribute act {STRETCH,DIP}
@attribute age {ADULT,CHILD}
@attribute class {T,F}

@data
YELLOW,SMALL,DIP,CHILD,F
PURPLE,LARGE,DIP,ADULT,F
PURPLE,SMALL,STRETCH,CHILD,F
PURPLE,SMALL,STRETCH,ADULT,T
PURPLE,SMALL,DIP,CHILD,F
YELLOW,LARGE,STRETCH,CHILD,F
PURPLE,LARGE,DIP,CHILD,F
YELLOW,SMALL,DIP,ADULT,F
PURPLE,LARGE,STRETCH,ADULT,T
YELLOW,LARGE,DIP,CHILD,F
YELLOW,LARGE,DIP,ADULT,F
PURPLE,SMALL,STRETCH,ADULT,T
YELLOW,SMALL,STRETCH,CHILD,F
PURPLE,SMALL,DIP,ADULT,F
YELLOW,LARGE,STRETCH,ADULT,T
YELLOW,SMALL,STRETCH,ADULT,T
