@relation titanic-train

@attribute passengerId numeric
@attribute pclass {1,2,3}
@attribute sex {male,female}
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {C,Q,S}
@attribute survival {0,1}

@data
812,3,male,39,0,0,24.15,S,0
399,2,male,23,0,0,10.5,S,0
236,3,female,?,0,0,7.55,S,0
818,2,male,31,1,1,37.0042,C,0
557,1,female,48,1,0,39.6,C,1
785,3,male,25,0,0,7.05,S,0
10,2,female,14,1,0,30.0708,C,1
444,2,female,28,0,0,13,S,1
621,3,male,27,1,0,14.4542,C,0
38,3,male,21,0,0,8.05,S,0
163,3,male,26,0,0,7.775,S,0
732,3,male,11,0,0,18.7875,C,0
79,2,male,0.83,0,2,29,S,1
457,1,male,65,0,0,26.55,S,0
511,3,male,29,0,0,7.75,Q,1
865,2,male,24,0,0,13,S,0
118,2,male,29,1,0,21,S,0
123,2,male,32.5,1,0,30.0708,C,0
874,3,male,47,0,0,9,S,0
875,2,female,28,1,0,24,C,1
145,2,male,18,0,0,11.5,S,0
446,1,male,4,0,2,81.8583,S,1
739,3,male,?,0,0,7.8958,S,0
57,2,female,21,0,0,10.5,S,1
817,3,female,23,0,0,7.925,S,0
720,3,male,33,0,0,7.775,S,0
573,1,male,36,0,0,26.3875,S,1
225,1,male,38,1,0,90,S,1
206,3,female,2,0,1,10.4625,S,0
442,3,male,20,0,0,9.5,S,0
82,3,male,29,0,0,9.5,S,1
84,1,male,28,0,0,47.1,S,0
745,3,male,31,0,0,7.925,S,1
808,3,female,18,0,0,7.775,S,0
738,1,male,35,0,0,512.3292,C,1
390,2,female,17,0,0,12,C,1
420,3,female,10,0,2,24.15,S,0
862,2,male,21,1,0,11.5,S,0
250,2,male,54,1,0,26,S,0
262,3,male,3,4,2,31.3875,S,1
616,2,female,24,1,2,65,S,1
556,1,male,62,0,0,26.55,S,0
721,2,female,6,0,1,33,S,1
449,3,female,5,2,1,19.2583,C,1
592,1,female,52,1,0,78.2667,C,1
470,3,female,0.75,2,1,19.2583,C,1
697,3,male,44,0,0,8.05,S,0
759,3,male,34,0,0,8.05,S,0
199,3,female,?,0,0,7.75,Q,1
58,3,male,28.5,0,0,7.2292,C,0
131,3,male,33,0,0,7.8958,C,0
215,3,male,?,1,0,7.75,Q,0
890,1,male,26,0,0,30,C,1
20,3,female,?,0,0,7.225,C,1
877,3,male,20,0,0,9.8458,S,0
668,3,male,?,0,0,7.775,S,0
828,2,male,1,0,2,37.0042,C,1
850,1,female,?,1,0,89.1042,C,1
827,3,male,?,0,0,56.4958,S,0
391,1,male,36,1,2,120,S,1
858,1,male,51,0,0,26.55,S,1
836,1,female,39,1,1,83.1583,C,1
723,2,male,34,0,0,13,S,0
867,2,female,27,1,0,13.8583,C,1
393,3,male,28,2,0,7.925,S,0
651,3,male,?,0,0,7.8958,S,0
343,2,male,28,0,0,13,S,0
69,3,female,17,4,2,7.925,S,1
351,3,male,23,0,0,9.225,S,0
74,3,male,26,1,0,14.4542,C,0
136,2,male,23,0,0,15.0458,C,0
185,3,female,4,0,2,22.025,S,1
383,3,male,32,0,0,7.925,S,0
644,3,male,?,0,0,56.4958,S,1
122,3,male,?,0,0,8.05,S,0
299,1,male,?,0,0,30.5,S,1
249,1,male,37,1,1,52.5542,S,1
360,3,female,?,0,0,7.8792,Q,1
884,2,male,28,0,0,10.5,S,0
141,3,female,?,0,2,15.2458,C,0
394,1,female,23,1,0,113.275,C,1
575,3,male,16,0,0,8.05,S,0
440,2,male,31,0,0,10.5,S,0
44,2,female,3,1,2,41.5792,C,1
279,3,male,7,4,1,29.125,Q,0
261,3,male,?,0,0,7.75,Q,0
411,3,male,?,0,0,7.8958,S,0
28,1,male,19,3,2,263,S,0
200,2,female,24,0,0,13,S,0
849,2,male,28,0,1,33,S,0
400,2,female,28,0,0,12.65,S,1
576,3,male,19,0,0,14.5,S,0
598,3,male,49,0,0,0,S,0
737,3,female,48,1,3,34.375,S,0
336,3,male,?,0,0,7.8958,S,0
88,3,male,?,0,0,8.05,S,0
589,3,male,22,0,0,8.05,S,0
52,3,male,21,0,0,7.8,S,0
810,1,female,33,1,0,53.1,S,1
302,3,male,?,2,0,23.25,Q,1
293,2,male,36,0,0,12.875,C,0
466,3,male,38,0,0,7.05,S,0
419,2,male,30,0,0,13,S,0
350,3,male,42,0,0,8.6625,S,0
81,3,male,22,0,0,9,S,0
274,1,male,37,0,1,29.7,C,0
248,2,female,24,0,2,14.5,S,1
362,2,male,29,1,0,27.7208,C,0
147,3,male,27,0,0,7.7958,S,1
416,3,female,?,0,0,8.05,S,0
791,3,male,?,0,0,7.75,Q,0
240,2,male,33,0,0,12.275,S,0
24,1,male,28,0,0,35.5,S,1
237,2,male,44,1,0,26,S,0
422,3,male,21,0,0,7.7333,Q,0
782,1,female,17,1,0,57,S,1
477,2,male,34,1,0,21,S,0
788,3,male,8,4,1,29.125,Q,0
203,3,male,34,0,0,6.4958,S,0
776,3,male,18,0,0,7.75,S,0
451,2,male,36,1,2,27.75,S,0
413,1,female,33,1,0,90,Q,1
283,3,male,16,0,0,9.5,S,0
450,1,male,52,0,0,30.5,S,1
337,1,male,29,1,0,66.6,S,0
100,2,male,34,1,0,26,S,0
607,3,male,30,0,0,7.8958,S,0
669,3,male,43,0,0,8.05,S,0
232,3,male,29,0,0,7.775,S,0
678,3,female,18,0,0,9.8417,S,1
543,3,female,11,4,2,31.275,S,0
864,3,female,?,8,2,69.55,S,0
189,3,male,40,1,1,15.5,Q,0
488,1,male,58,0,0,29.7,C,0
665,3,male,20,1,0,7.925,S,1
634,1,male,?,0,0,0,S,0
671,2,female,40,1,1,39,S,1
375,3,female,3,3,1,21.075,S,0
352,1,male,?,0,0,35,S,0
502,3,female,21,0,0,7.75,Q,0
887,2,male,27,0,0,13,S,0
518,3,male,?,0,0,24.15,Q,0
809,2,male,39,0,0,13,S,0
92,3,male,20,0,0,7.8542,S,0
271,1,male,?,0,0,31,S,0
642,1,female,24,0,0,69.3,C,1
256,3,female,29,0,2,15.2458,C,1
493,1,male,55,0,0,30.5,S,0
528,1,male,?,0,0,221.7792,S,0
656,2,male,24,2,0,73.5,S,0
594,3,female,?,0,2,7.75,Q,0
178,1,female,50,0,0,28.7125,C,0
501,3,male,17,0,0,8.6625,S,0
156,1,male,51,0,1,61.3792,C,0
868,1,male,31,0,0,50.4958,S,0
304,2,female,?,0,0,12.35,Q,1
384,1,female,35,1,0,52,S,1
495,3,male,21,0,0,8.05,S,0
63,1,male,45,1,0,83.475,S,0
355,3,male,?,0,0,7.225,C,0
586,1,female,18,0,2,79.65,S,1
655,3,female,18,0,0,6.75,Q,0
341,2,male,2,1,1,26,S,1
469,3,male,?,0,0,7.725,Q,0
211,3,male,24,0,0,7.05,S,0
382,3,female,1,0,2,15.7417,C,1
61,3,male,22,0,0,7.2292,C,0
570,3,male,32,0,0,7.8542,S,1
577,2,female,34,0,0,13,S,1
580,3,male,32,0,0,7.925,S,1
852,3,male,74,0,0,7.775,S,0
872,1,female,47,1,1,52.5542,S,1
831,3,female,15,1,0,14.4542,C,1
255,3,female,41,0,2,20.2125,S,0
750,3,male,31,0,0,7.75,Q,0
840,1,male,?,0,0,29.7,C,1
504,3,female,37,0,0,9.5875,S,0
722,3,male,17,1,0,7.0542,S,0
632,3,male,51,0,0,7.0542,S,0
625,3,male,21,0,0,16.1,S,0
842,2,male,16,0,0,10.5,S,0
631,1,male,80,0,0,30,S,1
628,1,female,21,0,0,77.9583,S,1
292,1,female,19,1,0,91.0792,C,1
835,3,male,18,0,0,8.3,S,0
108,3,male,?,0,0,7.775,S,1
423,3,male,29,0,0,7.875,S,0
359,3,female,?,0,0,7.8792,Q,1
158,3,male,30,0,0,8.05,S,0
797,1,female,49,0,0,25.9292,S,1
472,3,male,38,0,0,8.6625,S,0
346,2,female,24,0,0,13,S,1
387,3,male,1,5,2,46.9,S,0
286,3,male,33,0,0,8.6625,C,0
653,3,male,21,0,0,8.4333,S,0
345,2,male,36,0,0,13,S,0
813,2,male,35,0,0,10.5,S,0
498,3,male,?,0,0,15.1,S,0
192,2,male,19,0,0,13,S,0
335,1,female,?,1,0,133.65,S,1
37,3,male,?,0,0,7.2292,C,1
740,3,male,?,0,0,7.8958,S,0
563,2,male,28,0,0,13.5,S,0
70,3,male,26,2,0,8.6625,S,0
13,3,male,20,0,0,8.05,S,0
195,1,female,44,0,0,27.7208,C,1
747,3,male,16,1,1,20.25,S,0
646,1,male,48,1,0,76.7292,C,1
361,3,male,40,1,4,27.9,S,0
520,3,male,32,0,0,7.8958,S,0
588,1,male,60,1,1,79.2,C,1
866,2,female,42,0,0,13,S,1
348,3,female,?,1,0,16.1,S,1
753,3,male,33,0,0,9.5,S,0
848,3,male,35,0,0,7.8958,C,0
115,3,female,17,0,0,14.4583,C,0
94,3,male,26,1,2,20.575,S,0
257,1,female,?,0,0,79.2,C,1
787,3,female,18,0,0,7.4958,S,1
291,1,female,26,0,0,78.85,S,1
2,1,female,38,1,0,71.2833,C,1
795,3,male,25,0,0,7.8958,S,0
239,2,male,19,0,0,10.5,S,0
772,3,male,48,0,0,7.8542,S,0
441,2,female,45,1,1,26.25,S,1
342,1,female,24,3,2,263,S,1
194,2,male,3,1,1,26,S,1
285,1,male,?,0,0,26,S,0
630,3,male,?,0,0,7.7333,Q,0
880,1,female,56,0,1,83.1583,C,1
793,3,female,?,8,2,69.55,S,0
93,1,male,46,1,0,61.175,S,0
435,1,male,50,1,0,55.9,S,0
771,3,male,24,0,0,9.5,S,0
368,3,female,?,0,0,7.2292,C,1
489,3,male,30,0,0,8.05,S,0
22,2,male,34,0,0,13,S,1
508,1,male,?,0,0,26.55,S,1
611,3,female,39,1,5,31.275,S,0
510,3,male,26,0,0,56.4958,S,1
397,3,female,31,0,0,7.8542,S,0
491,3,male,?,1,0,19.9667,S,0
408,2,male,3,1,1,18.75,S,1
538,1,female,30,0,0,106.425,C,1
515,3,male,24,0,0,7.4958,S,0
623,3,male,20,1,1,15.7417,C,1
805,3,male,27,0,0,6.975,S,1
176,3,male,18,1,1,7.8542,S,0
17,3,male,2,4,1,29.125,Q,0
687,3,male,14,4,1,39.6875,S,0
657,3,male,?,0,0,7.8958,S,0
579,3,female,?,1,0,14.4583,C,0
627,2,male,57,0,0,12.35,Q,0
32,1,female,?,1,0,146.5208,C,1
762,3,male,41,0,0,7.125,S,0
550,2,male,8,1,1,36.75,S,1
323,2,female,30,0,0,12.35,Q,1
254,3,male,30,1,0,16.1,S,0
86,3,female,33,3,0,15.85,S,1
243,2,male,29,0,0,10.5,S,0
679,3,female,43,1,6,46.9,S,0
843,1,female,30,0,0,31,C,1
29,3,female,?,0,0,7.8792,Q,1
3,3,female,26,0,0,7.925,S,1
826,3,male,?,0,0,6.95,Q,0
487,1,female,35,1,0,90,S,1
47,3,male,?,1,0,15.5,Q,0
620,2,male,26,0,0,10.5,S,0
227,2,male,19,0,0,10.5,S,1
695,1,male,60,0,0,26.55,S,0
635,3,female,9,3,2,27.9,S,0
169,1,male,?,0,0,25.925,S,0
674,2,male,31,0,0,13,S,1
600,1,male,49,1,0,56.9292,C,1
269,1,female,58,0,1,153.4625,S,1
213,3,male,22,0,0,7.25,S,0
224,3,male,?,0,0,7.8958,S,0
72,3,female,16,5,2,46.9,S,0
208,3,male,26,0,0,18.7875,C,1
35,1,male,28,1,0,82.1708,C,0
357,1,female,22,0,1,55,S,1
636,2,female,28,0,0,13,S,1
196,1,female,58,0,0,146.5208,C,1
322,3,male,27,0,0,7.8958,S,0
15,3,female,14,0,0,7.8542,S,0
340,1,male,45,0,0,35.5,S,0
432,3,female,?,1,0,16.1,S,1
12,1,female,58,0,0,26.55,S,1
696,2,male,52,0,0,13.5,S,0
677,3,male,24.5,0,0,8.05,S,0
64,3,male,4,3,2,27.9,S,0
264,1,male,40,0,0,0,S,0
583,2,male,54,0,0,26,S,0
25,3,female,8,3,1,21.075,S,0
712,1,male,?,0,0,26.55,S,0
618,3,female,26,1,0,16.1,S,0
790,1,male,46,0,0,79.2,C,0
214,2,male,30,0,0,13,S,0
165,3,male,1,4,1,39.6875,S,0
555,3,female,22,0,0,7.775,S,1
320,1,female,40,1,1,134.5,C,1
132,3,male,20,0,0,7.05,S,0
445,3,male,?,0,0,8.1125,S,1
478,3,male,29,1,0,7.0458,S,0
521,1,female,30,0,0,93.5,S,1
799,3,male,30,0,0,7.2292,C,0
845,3,male,17,0,0,8.6625,S,0
135,2,male,25,0,0,13,S,0
758,2,male,18,0,0,11.5,S,0
395,3,female,24,0,2,16.7,S,1
610,1,female,40,0,0,153.4625,S,1
854,1,female,16,0,1,39.4,S,1
297,3,male,23.5,0,0,7.2292,C,0
