@relation DNF9_train

@attribute region {1,2,3,4}
@attribute f1 {0,1}
@attribute f2 {0,1}
@attribute f3 {0,1}
@attribute f4 {0,1}
@attribute f5 {0,1}
@attribute f6 {0,1}
@attribute f7 {0,1}
@attribute f8 {0,1}
@attribute N0 numeric
@attribute N1 numeric
@attribute N2 numeric
@attribute N3 numeric
@attribute N4 numeric
@attribute N5 numeric
@attribute N6 numeric
@attribute N7 numeric
@attribute N8 numeric
@attribute N9 numeric
@attribute class {0,1}

@data
3,0,0,0,0,0,1,1,1,13,4,8,46,1,39,16,61,29,22,0
1,1,0,1,1,1,1,1,0,80,86,7,79,1,58,89,88,29,41,0
2,0,0,0,0,1,1,0,1,93,0,9,80,9,13,48,55,94,24,0
4,1,0,0,1,0,1,0,1,90,41,5,59,9,61,80,74,54,96,0
3,1,0,0,1,1,0,1,1,46,23,6,15,7,28,5,43,9,66,0
1,0,0,1,1,1,1,0,0,56,2,5,52,4,30,87,26,77,95,0
3,0,0,0,1,0,0,0,0,97,46,7,87,5,33,37,12,82,34,0
3,1,0,0,0,0,1,0,0,88,19,5,70,5,74,97,87,19,23,0
2,0,1,1,0,0,0,1,0,81,46,6,78,7,80,12,61,77,16,0
3,0,1,1,1,1,1,0,0,14,55,81,71,67,81,48,93,98,84,1
2,0,1,0,0,0,0,1,0,23,92,0,53,1,73,58,49,41,1,0
4,1,0,1,0,1,0,0,0,99,20,6,56,2,78,80,36,71,21,0
2,0,1,1,0,1,0,0,0,91,1,0,16,4,56,51,86,38,41,0
1,1,1,1,0,1,1,1,1,8,24,95,29,84,50,23,56,76,42,1
3,0,0,0,1,1,0,0,1,95,65,5,94,2,7,1,11,71,40,0
4,1,1,1,0,0,0,1,0,80,85,7,27,7,96,54,2,76,53,0
1,1,0,0,1,1,0,1,1,86,59,4,60,1,43,85,36,29,65,0
3,1,0,1,0,0,1,1,1,53,12,4,96,4,62,31,72,23,73,0
4,0,1,1,1,0,0,0,0,73,68,6,75,0,50,81,20,85,0,0
3,0,0,1,1,0,0,0,0,38,8,5,37,1,9,34,6,41,50,0
3,0,0,1,0,1,0,0,1,93,3,0,2,3,50,37,44,0,72,0
3,0,0,1,1,1,1,0,1,9,38,92,5,68,31,2,49,2,19,1
2,0,1,1,1,1,1,0,0,95,30,76,38,89,56,28,8,83,6,1
2,1,0,1,0,0,1,1,0,8,84,3,64,7,97,10,57,64,22,0
2,1,1,0,1,1,1,1,1,35,93,1,66,4,77,72,39,35,20,0
3,1,1,0,1,0,1,1,1,49,39,6,72,2,90,92,52,11,91,0
2,1,0,0,1,0,1,0,0,74,8,5,75,0,55,24,90,13,58,0
2,0,0,0,0,1,1,1,1,70,47,1,67,4,66,43,75,3,86,0
3,1,1,1,1,1,0,0,1,8,53,4,97,9,30,8,89,44,50,0
4,0,1,1,0,1,1,1,1,50,94,80,14,72,96,42,29,18,49,1
1,1,0,0,0,0,1,0,0,48,46,0,59,3,36,76,77,77,19,0
4,1,0,0,1,1,1,0,0,2,23,0,66,3,63,67,32,44,87,0
2,1,1,0,0,0,0,1,1,72,97,7,89,7,76,41,53,45,66,0
2,1,1,0,1,1,1,0,0,96,44,0,27,5,90,94,7,52,65,0
1,0,0,0,0,1,1,1,0,17,1,0,22,1,81,40,42,46,50,0
4,0,1,1,1,1,1,1,1,75,43,79,90,76,34,76,2,35,76,1
1,0,1,0,1,0,1,1,0,10,68,0,70,5,38,76,87,8,16,0
3,1,0,0,0,1,0,1,0,10,55,8,78,3,2,13,97,64,86,0
4,0,1,0,1,0,0,1,0,55,64,0,48,5,74,78,71,80,79,0
3,1,0,0,0,0,1,1,0,33,17,1,54,6,22,36,23,80,68,0
2,0,1,0,0,0,0,1,0,39,64,9,22,0,26,72,67,21,55,0
4,0,0,0,1,0,0,1,0,37,78,8,54,9,18,28,8,27,42,0
1,1,1,0,1,0,0,1,1,92,46,62,41,89,7,97,31,8,15,1
2,0,1,1,0,0,0,0,0,12,37,1,13,4,48,32,88,47,11,0
1,1,1,1,0,1,1,0,0,68,29,95,74,52,57,60,67,0,19,1
1,1,1,1,1,1,1,0,0,99,22,83,79,52,68,28,15,81,16,1
4,1,1,0,0,0,0,1,0,98,88,3,41,2,42,44,13,25,40,0
1,1,1,0,1,1,0,0,0,94,44,99,22,99,97,70,38,25,9,1
2,0,1,1,0,1,1,0,1,41,4,4,80,2,18,56,40,89,18,0
3,0,1,1,0,0,1,0,0,43,62,6,21,8,35,77,26,68,21,0
1,0,0,0,0,1,1,1,0,5,70,3,46,0,21,33,86,41,55,0
2,0,0,0,1,1,1,0,0,61,30,5,37,6,64,55,53,40,51,0
4,1,0,0,0,0,0,1,1,71,87,56,12,87,43,72,10,72,39,1
1,1,1,0,0,1,1,1,1,95,52,85,57,54,26,74,96,92,87,1
4,0,0,1,1,1,1,0,1,81,33,8,21,8,68,40,10,82,36,0
4,0,1,1,0,1,0,1,0,89,73,7,1,7,42,65,71,38,79,0
2,0,1,1,0,1,1,0,0,8,23,8,43,7,49,71,28,31,75,0
3,0,1,1,1,1,1,0,0,92,92,92,35,74,59,15,40,28,76,1
1,0,1,0,0,1,1,0,1,8,23,3,93,8,60,46,95,0,25,0
4,1,0,1,1,0,1,0,1,68,20,7,63,3,8,58,68,31,38,0
1,0,1,1,0,1,0,0,1,60,52,0,86,1,32,22,84,88,51,0
4,0,0,0,1,1,1,0,1,14,36,0,24,6,52,39,24,5,87,0
2,0,1,0,0,0,1,1,1,36,75,2,68,0,47,47,86,15,64,0
4,1,1,0,0,0,0,1,1,99,24,69,13,79,96,2,49,69,45,1
2,0,1,1,1,1,0,1,0,36,36,73,91,81,74,71,53,82,4,1
4,0,0,0,0,0,0,0,1,44,24,0,94,3,94,81,85,64,94,0
4,0,1,1,1,1,0,0,0,90,64,4,44,0,83,15,89,78,91,0
1,1,0,0,0,1,0,0,1,45,95,9,29,0,21,15,9,65,42,0
3,0,0,0,1,1,0,0,0,99,31,6,60,1,52,85,67,51,62,0
3,0,0,1,0,1,0,1,0,28,71,6,93,5,9,83,58,35,73,0
3,0,0,1,0,1,0,1,0,22,45,2,78,5,90,90,78,4,10,0
4,1,0,1,1,0,1,0,0,80,78,0,28,6,21,8,20,29,81,0
4,1,0,1,0,1,1,1,0,68,95,6,85,3,10,54,52,34,55,0
2,0,0,0,1,1,1,0,1,37,74,6,57,8,25,79,71,1,3,0
4,1,1,1,1,1,1,1,1,51,59,62,73,83,4,72,97,57,4,1
3,1,0,1,0,1,0,0,1,63,73,1,95,6,80,87,75,92,55,0
3,1,1,0,1,1,1,1,1,63,68,95,33,92,41,25,16,94,96,1
3,1,1,1,1,1,1,1,0,81,36,82,6,71,38,26,9,38,79,1
2,1,0,0,1,0,1,1,0,79,67,4,29,5,9,24,83,45,39,0
2,0,1,1,1,1,1,1,0,24,11,61,49,85,23,28,89,95,62,1
1,0,1,1,1,1,1,1,0,33,93,9,92,8,52,19,92,83,65,0
2,0,1,0,0,0,0,0,0,62,12,7,44,5,16,35,49,56,0,0
2,1,0,0,0,0,0,0,0,8,12,4,72,7,8,9,23,40,31,0
3,1,1,1,1,0,1,1,1,2,92,2,19,0,55,24,62,6,15,0
4,0,1,0,1,0,1,1,1,88,21,79,31,63,64,56,5,11,86,1
3,1,0,0,0,0,0,1,0,61,11,3,85,3,35,28,23,63,94,0
1,1,1,0,0,1,1,0,0,79,60,82,83,58,17,42,95,24,53,1
4,0,0,1,0,1,0,1,0,59,16,8,25,5,1,7,13,14,25,0
1,0,0,0,1,1,1,0,0,48,85,6,85,2,46,90,87,26,86,0
1,1,1,1,1,0,1,1,1,7,14,81,32,71,84,19,3,32,41,1
1,0,0,1,1,0,1,0,0,37,99,8,30,4,22,54,32,51,53,0
1,0,0,0,0,1,1,0,0,57,44,6,51,7,59,90,35,98,87,0
3,1,1,1,0,0,1,0,0,7,3,6,90,8,98,61,21,11,96,0
1,1,0,0,0,0,0,1,0,7,12,4,83,7,94,48,79,57,96,0
1,0,0,0,1,0,1,1,1,36,97,2,41,5,39,60,51,30,19,0
1,0,0,0,1,1,0,1,0,39,55,8,68,0,20,56,99,0,10,0
1,1,0,0,1,0,1,0,0,23,15,7,84,9,1,44,23,38,38,0
4,0,0,1,0,1,0,1,1,48,60,79,9,86,3,83,6,1,37,1
4,1,1,1,1,1,0,1,0,32,70,2,94,0,59,78,92,28,82,0
4,0,1,0,0,1,1,1,0,39,35,6,46,2,61,0,97,56,41,0
1,1,0,1,1,1,1,1,1,13,86,6,37,9,20,73,70,94,18,0
1,1,1,0,0,0,0,1,1,20,51,73,30,54,96,82,8,11,24,1
1,1,1,0,0,1,0,0,0,63,32,95,0,62,13,70,22,86,11,1
4,0,1,1,1,1,0,1,0,42,16,4,19,7,60,72,36,24,62,0
4,1,1,0,1,1,0,1,1,71,96,50,28,73,20,12,34,20,81,1
3,1,0,0,0,0,0,0,0,55,1,9,92,6,97,22,78,60,57,0
4,0,0,0,0,0,1,0,0,0,60,8,91,7,29,47,81,35,48,0
2,1,0,0,0,0,0,0,1,16,59,2,45,4,63,21,95,95,74,0
1,1,1,0,0,0,1,1,0,31,48,73,72,82,46,72,10,54,2,1
4,1,0,0,1,0,0,0,0,63,34,3,17,4,53,39,58,75,62,0
2,1,1,1,1,1,0,0,0,3,77,51,11,94,80,80,76,7,18,1
2,0,1,0,1,0,0,1,0,10,60,6,34,2,82,32,87,68,84,0
1,1,1,0,1,0,0,0,0,64,36,63,10,79,69,90,45,75,48,1
2,0,0,0,1,1,1,0,1,40,56,5,51,9,15,73,30,74,98,0
4,0,1,0,1,0,0,0,0,59,74,4,76,1,58,94,65,29,70,0
4,1,0,1,1,0,1,0,0,14,57,8,50,0,25,25,92,6,50,0
4,0,0,1,1,0,1,1,0,27,91,0,11,7,28,80,89,72,88,0
3,0,1,1,0,1,1,0,1,16,20,96,96,86,69,1,26,3,81,1
4,1,0,0,0,0,1,1,1,56,8,92,83,65,62,13,54,62,12,1
2,0,0,1,0,1,1,1,1,6,57,8,37,1,41,71,75,94,89,0
1,1,0,0,0,1,1,0,1,38,62,7,5,4,26,35,4,96,41,0
1,1,1,1,1,1,1,1,1,92,47,82,26,64,18,41,15,60,14,1
4,1,0,0,0,0,1,0,0,83,61,4,70,9,65,13,20,62,90,0
2,1,0,0,1,1,0,0,0,30,9,6,48,5,46,64,61,41,84,0
1,1,1,1,0,0,0,1,0,69,94,70,45,68,72,54,44,21,82,1
1,0,0,1,0,0,0,0,1,10,90,3,82,5,27,17,27,59,92,0
4,0,0,0,0,1,0,1,0,61,12,9,33,3,9,56,64,69,83,0
4,0,0,1,0,0,1,0,1,76,50,9,20,7,48,55,66,93,2,0
4,0,0,1,0,1,1,1,1,94,55,86,23,72,68,2,28,22,22,1
4,0,0,0,0,0,0,0,1,61,86,7,14,2,14,39,43,9,68,0
4,1,0,1,0,0,1,0,1,24,61,0,73,3,5,39,3,55,87,0
4,0,1,0,1,1,1,1,0,57,42,3,76,7,50,95,3,59,93,0
4,1,1,0,1,0,1,1,0,6,99,1,30,0,9,10,53,98,95,0
3,0,0,1,0,0,1,1,0,6,66,6,53,3,71,18,48,43,38,0
2,1,0,1,0,0,1,1,0,61,86,5,3,4,86,14,42,1,0,0
4,1,0,0,1,0,1,1,0,31,1,2,33,7,55,74,45,91,86,0
4,0,0,1,1,1,0,0,1,54,15,1,26,8,84,56,79,70,17,0
2,0,0,0,1,0,1,1,0,34,82,8,32,8,72,7,77,17,86,0
3,1,1,0,0,1,0,1,1,75,7,4,42,5,80,33,85,80,95,0
