@relation TEST_ITEM_TRANS
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute Class {0,1}

@data
73.0,41.0,20.7,1
0.6,96.3,93.9,0
94.7,93.7,39.7,1
50.6,11.5,77.0,1
65.9,15.6,37.8,1
80.5,0.5,52.3,1
74.3,14.2,48.1,1
20.4,62.3,18.4,0
1.0,16.1,17.8,1
24.5,39.4,21.7,1
43.2,23.3,88.9,1
65.5,11.9,65.2,1
98.4,20.6,37.4,1
44.3,50.4,99.8,1
63.0,90.9,50.7,1
30.8,71.7,96.2,1
20.9,17.2,54.8,1
78.9,69.9,20.4,1
25.4,77.7,22.5,0
63.7,0.8,63.1,1
20.7,88.0,70.7,1
98.7,15.3,71.0,1
82.3,12.3,61.6,1
61.7,2.8,59.1,1
7.3,7.4,67.9,1
84.9,35.3,59.8,1
29.2,87.6,74.4,1
27.1,72.9,88.6,1
4.3,45.7,86.2,1
99.9,6.1,58.6,1
56.7,66.2,90.7,1
70.6,33.7,60.7,1
31.5,2.4,45.1,1
17.7,67.6,71.5,1
74.3,92.9,58.9,1
77.4,30.6,88.0,1
63.0,92.8,19.6,0
4.2,37.8,78.6,1
71.2,11.0,76.2,1
40.0,74.3,36.5,1
76.3,32.2,51.2,1
3.1,44.4,69.1,1
71.9,77.7,28.8,1
23.4,65.6,57.2,1
55.5,25.0,92.0,1
24.2,17.5,44.4,1
82.9,60.1,63.7,1
93.8,26.6,22.9,1
30.3,37.1,85.7,1
26.5,3.2,66.9,1
7.4,60.9,17.8,0
69.1,34.9,22.8,1
16.7,59.4,80.9,1
5.3,60.6,68.1,1
58.3,36.9,94.5,1
44.4,70.7,2.9,0
65.8,31.5,81.5,1
31.9,54.9,52.2,1
31.5,69.6,9.4,0
81.9,96.9,34.9,1
27.2,1.1,79.4,1
10.7,76.6,20.8,0
94.5,2.7,74.6,1
9.3,95.9,81.8,0
21.4,83.3,25.5,0
80.1,46.1,11.9,1
51.0,74.2,5.6,0
88.2,87.9,6.0,1
7.1,22.9,22.2,1
88.5,54.4,70.1,1
18.3,34.7,3.9,0
70.7,46.6,80.3,1
8.2,47.9,96.1,1
48.1,6.5,10.8,1
89.3,86.4,79.8,1
89.1,43.1,12.9,1
66.9,51.7,55.4,1
17.2,13.3,47.8,1
87.5,41.2,52.9,1
24.6,85.1,4.9,0
88.9,2.7,61.1,1
77.1,35.9,60.3,1
36.7,63.1,88.4,1
6.7,60.2,55.2,1
53.0,91.2,94.3,1
44.7,41.3,46.5,1
66.8,31.2,88.8,1
52.1,96.7,74.8,1
74.0,85.0,53.3,1
69.3,6.5,51.9,1
81.1,52.9,72.1,1
71.1,35.7,93.0,1
26.2,39.3,96.5,1
96.9,67.6,76.8,1
9.9,42.0,87.6,1
32.6,0.7,23.7,1
36.2,13.7,30.6,1
47.2,8.0,53.8,1
80.4,84.9,9.3,1
27.5,33.8,47.9,1
86.0,51.9,72.0,1
59.2,16.3,61.1,1
48.6,91.6,47.1,1
51.6,14.7,44.3,1
1.8,95.9,6.4,0
85.0,19.6,47.5,1
57.2,28.4,6.1,1
21.0,83.9,0.0,0
74.7,68.1,96.2,1
18.0,33.3,82.2,1
19.6,26.2,6.5,0
20.3,45.0,42.7,1
51.9,70.0,2.4,0
38.7,0.5,90.8,1
7.8,89.4,56.8,0
78.9,77.9,91.7,1
60.3,79.1,46.4,1
75.5,64.9,16.4,1
98.2,15.7,7.4,1
71.1,13.3,55.1,1
48.0,77.1,31.5,1
98.9,2.8,59.2,1
89.4,57.2,50.4,1
41.7,90.5,26.8,0
33.8,48.5,0.8,0
37.9,35.0,17.5,1
24.5,69.2,34.9,0
87.6,93.8,35.8,1
12.2,18.2,37.8,1
40.2,4.4,27.4,1
19.1,71.1,16.1,0
34.8,3.6,34.4,1
32.9,5.8,63.9,1
0.8,32.3,13.5,0
26.8,87.6,63.1,1
30.9,84.5,5.1,0
90.0,44.8,79.2,1
50.4,67.0,12.2,0
95.9,50.2,10.8,1
39.7,21.3,55.9,1
61.4,73.6,11.7,1
8.7,66.7,84.4,1
86.3,69.5,86.9,1
46.3,7.5,29.6,1
60.8,12.0,66.9,1
35.2,56.7,20.7,0
39.5,65.0,16.2,0
44.9,64.7,86.6,1
86.6,95.1,24.6,1
14.9,95.1,83.3,1
60.6,39.0,30.6,1
35.7,75.6,66.1,1
78.6,73.4,15.6,1
83.6,41.8,99.1,1
43.2,98.1,71.9,1
96.8,62.4,3.6,1
1.4,64.2,80.5,1
47.3,38.1,73.4,1
67.6,85.0,21.4,1
77.1,73.1,5.8,1
64.4,33.6,78.9,1
88.7,89.0,80.7,1
40.0,51.3,44.7,1
83.8,69.3,76.8,1
68.8,92.6,0.4,0
29.6,66.7,4.8,0
89.7,37.3,9.6,1
82.0,14.2,24.8,1
62.5,93.3,37.9,1
9.9,6.6,1.3,1
20.1,61.5,81.3,1
7.3,47.3,52.8,1
17.3,99.8,34.1,0
78.2,56.7,53.0,1
82.7,12.9,66.3,1
40.1,13.3,94.6,1
64.5,27.1,52.2,1
67.3,62.6,92.1,1
8.0,99.6,0.7,0
82.9,48.9,49.6,1
72.6,8.8,90.6,1
98.9,71.7,27.0,1
27.5,58.2,45.6,1
88.7,48.0,67.1,1
20.8,16.9,99.4,1
35.4,59.0,93.7,1
25.8,42.0,88.1,1
53.5,86.1,69.7,1
88.2,25.8,6.0,1
23.6,83.5,61.7,1
6.9,20.3,91.1,1
30.7,6.8,31.3,1
70.1,8.2,52.6,1
86.6,63.2,67.4,1
11.3,29.1,12.8,0
44.8,60.2,54.3,1
28.5,83.6,79.0,1
41.6,38.3,13.0,1
40.1,20.9,11.4,1
23.7,94.5,9.5,0
90.9,12.7,9.5,1
61.2,13.5,85.4,1
66.3,14.9,49.7,1
93.1,64.2,34.9,1
75.1,40.1,75.9,1
77.7,58.9,58.1,1
61.0,81.3,41.6,1
25.0,29.2,0.8,0
21.0,96.1,28.9,0
79.5,95.0,47.1,1
80.4,52.4,12.6,1
8.9,8.9,0.1,0
41.6,55.2,12.8,0
78.8,85.3,14.3,1
44.6,94.8,8.2,0
17.4,47.0,63.0,1
4.1,86.2,5.6,0
2.2,46.8,55.2,1
12.2,91.6,85.3,1
22.2,49.2,35.8,1
22.3,42.0,69.6,1
95.7,77.8,32.0,1
52.4,3.2,83.8,1
31.5,72.6,51.6,1
6.4,97.4,32.3,0
3.4,67.1,53.5,0
28.3,81.0,66.7,1
0.3,83.6,64.8,0
67.5,71.2,55.0,1
99.2,11.3,94.2,1
9.5,5.5,43.3,1
71.6,50.0,97.7,1
69.4,9.4,54.5,1
90.9,62.2,95.6,1
96.1,91.4,28.2,1
15.7,19.8,31.4,1
64.5,78.9,85.4,1
8.4,87.6,14.0,0
26.5,17.2,20.9,1
92.5,40.6,51.5,1
62.8,86.7,30.7,1
47.2,1.4,28.2,1
70.8,99.1,30.5,1
83.8,76.3,48.5,1
86.2,3.8,32.6,1
31.5,80.3,93.4,1
36.2,27.6,90.5,1
38.0,96.8,8.6,0
44.0,6.4,81.5,1
38.2,15.7,94.1,1
65.0,5.3,48.4,1
60.6,70.7,21.8,1
73.9,62.6,64.7,1
76.2,7.5,65.1,1
68.5,25.3,20.6,1
19.4,41.7,53.8,1
77.0,69.8,49.2,1
90.2,86.6,24.1,1
39.2,29.6,79.1,1
86.1,29.1,34.3,1
4.7,74.7,1.7,0
39.2,89.3,89.6,1
13.3,52.4,40.6,1
84.5,75.9,93.5,1
62.3,49.2,68.5,1
38.4,33.8,15.3,1
47.5,20.9,15.0,1
56.0,65.6,83.1,1
10.3,16.2,12.8,1
74.0,80.9,26.7,1
91.2,71.6,57.2,1
33.0,11.0,30.3,1
39.9,21.1,10.2,1
66.7,37.7,32.7,1
71.1,19.9,79.0,1
80.5,37.4,81.0,1
1.7,66.5,34.1,0
70.5,70.1,67.8,1
25.1,35.7,55.1,1
54.5,61.4,6.8,1
7.2,58.0,19.9,0
15.2,58.5,27.3,0
12.1,7.9,76.5,1
79.6,58.8,91.9,1
90.4,85.5,61.4,1
81.8,40.2,68.4,1
88.5,5.2,54.0,1
9.9,62.2,25.3,0
82.6,4.3,17.0,1
24.8,2.6,82.2,1
19.7,77.9,49.4,0
39.5,7.6,13.1,1
32.4,92.2,28.9,0
86.2,57.1,81.3,1
77.2,29.4,84.7,1
37.2,52.9,30.4,1
59.3,10.2,74.3,1
94.2,68.6,34.8,1
26.1,44.8,9.3,0
6.6,51.1,90.5,1
12.8,35.1,87.3,1
68.6,79.8,99.0,1
74.6,17.2,72.1,1
70.4,81.4,9.6,0
93.8,70.3,45.2,1
33.6,33.3,29.4,1
23.6,44.8,75.1,1
