@relation synthetic2

@attribute 'x' numeric
@attribute 'y' numeric
@attribute 'label' {0,1}

@data
17.793582, 35.062244, 0
17.793582, 30.584003, 1
9.658847, 25.817856, 0
9.658847, 22.053761, 1
12.596357, 24.212705, 0
12.596357, 19.948048, 1
9.300350, 25.069142, 0
9.300350, 21.057756, 1
2.183457, 6.694797, 0
2.183457, 3.429653, 1
2.262328, 6.799365, 0
2.262328, 7.646332, 1
2.157846, 7.394942, 0
2.157846, 4.565348, 1
8.914619, 15.994257, 0
8.914619, 13.017368, 1
18.776901, 38.054008, 0
18.776901, 33.353255, 1
12.676280, 25.423213, 0
12.676280, 22.628076, 1
18.593387, 38.174896, 0
18.593387, 33.202468, 1
1.257525, 2.822209, 0
1.257525, -3.046910, 1
6.138778, 12.927833, 0
6.138778, 9.082684, 1
18.995290, 37.003627, 0
18.995290, 33.791967, 1
0.207288, 1.281967, 0
0.207288, -4.526849, 1
3.356554, 10.685437, 0
3.356554, 8.116343, 1
15.105449, 37.552891, 0
15.105449, 34.407715, 1
16.676435, 34.491086, 0
16.676435, 28.286680, 1
12.117209, 24.980248, 0
12.117209, 21.887333, 1
10.358343, 20.529107, 0
10.358343, 17.827253, 1
18.857152, 37.990910, 0
18.857152, 32.399715, 1
14.824128, 37.272172, 0
14.824128, 33.876353, 1
14.021577, 35.196227, 0
14.021577, 32.824219, 1
14.894363, 37.998164, 0
14.894363, 33.029296, 1
17.476515, 34.681650, 0
17.476515, 31.359199, 1
19.282412, 38.174891, 0
19.282412, 34.443929, 1
19.638338, 39.638851, 0
19.638338, 35.063423, 1
18.372657, 36.268294, 0
18.372657, 31.708327, 1
5.669607, 11.012221, 0
5.669607, 8.685147, 1
1.172512, 4.011732, 0
1.172512, -1.174115, 1
16.419891, 30.567858, 0
16.419891, 28.799300, 1
3.590445, 10.414862, 0
3.590445, 7.381238, 1
0.698625, 0.127245, 0
0.698625, -1.182315, 1
15.426534, 40.889929, 0
15.426534, 34.623537, 1
10.810522, 21.364463, 0
10.810522, 16.930739, 1
6.630799, 14.899253, 0
6.630799, 9.664123, 1
11.564332, 23.307191, 0
11.564332, 20.034366, 1
17.090148, 34.242023, 0
17.090148, 29.796168, 1
12.847502, 24.517544, 0
12.847502, 20.411465, 1
8.402071, 15.730796, 0
8.402071, 11.090241, 1
10.918258, 21.765665, 0
10.918258, 16.704339, 1
3.645955, 10.668675, 0
3.645955, 8.827041, 1
4.725485, 11.518457, 0
4.725485, 6.440718, 1
4.108273, 7.073966, 0
4.108273, 3.046099, 1
5.193726, 11.778791, 0
5.193726, 6.199041, 1
18.852648, 38.130140, 0
18.852648, 34.015940, 1
12.831407, 25.322033, 0
12.831407, 21.001363, 1
16.581267, 32.128137, 0
16.581267, 29.492929, 1
7.775244, 14.802624, 0
7.775244, 10.833530, 1
3.368244, 10.058050, 0
3.368244, 5.624303, 1
14.802355, 36.254642, 0
14.802355, 32.644701, 1
17.455917, 36.436549, 0
17.455917, 31.523928, 1
7.110500, 13.406509, 0
7.110500, 9.789073, 1
3.576573, 9.935918, 0
3.576573, 6.769276, 1
19.928472, 39.873878, 0
19.928472, 35.819756, 1
19.182551, 38.385173, 0
19.182551, 33.389389, 1
3.119925, 8.856493, 0
3.119925, 5.700940, 1
18.578713, 36.682915, 0
18.578713, 33.813267, 1
8.491484, 17.226253, 0
8.491484, 13.976543, 1
4.461679, 10.210069, 0
4.461679, 4.893072, 1
2.727902, 9.104745, 0
2.727902, 5.685593, 1
5.203513, 11.328987, 0
5.203513, 5.632450, 1
10.889308, 20.159830, 0
10.889308, 17.297456, 1
1.644168, 2.882074, 0
1.644168, -1.118117, 1
11.962546, 24.097088, 0
11.962546, 20.448819, 1
0.583724, -1.250904, 0
0.583724, -3.080250, 1
9.098178, 24.420925, 0
9.098178, 21.341982, 1
6.649974, 12.676320, 0
6.649974, 8.278331, 1
18.873457, 36.635255, 0
18.873457, 34.049183, 1
6.062036, 13.299349, 0
6.062036, 7.478018, 1
8.564487, 17.423353, 0
8.564487, 13.155396, 1
13.220675, 25.688088, 0
13.220675, 22.562309, 1
7.621760, 14.875280, 0
7.621760, 9.097656, 1
2.723412, 8.005471, 0
2.723412, 5.238860, 1
1.932532, 2.812063, 0
1.932532, -0.827980, 1
