@relation TEST_ITEM_TRANS
@attribute R {1,2}
@attribute X numeric
@attribute y numeric

@attribute Class {0,1}

@data
1,4.1,2.07,1
2,9.67,0.06,1
1,9.39,9.47,0
1,3.97,3.47,1
2,5.06,1.15,0
1,6.59,1.56,1
2,1.39,6.94,1
1,0.05,5.23,0
1,1.42,4.81,1
1,5.77,2.04,1
1,1.84,0.1,0
2,1.78,5.4,0
1,2.45,3.94,1
2,4.32,2.33,0
1,0.38,5.92,0
1,1.19,6.52,0
1,2.06,3.74,1
2,3.33,4.43,0
1,9.98,6.3,0
1,5.07,4.91,0
2,3.08,7.17,0
1,2.09,1.72,0
1,5.55,5.87,1
1,6.99,2.04,1
2,7.77,2.25,0
1,8.03,8.36,0
2,6.37,0.08,1
1,2.07,8.8,0
1,7.23,5.09,1
1,1.53,7.1,0
1,1.23,6.16,1
2,0.99,6.17,1
2,5.91,0.73,1
2,6.79,2.8,0
1,8.49,3.53,1
1,2.92,8.76,0
1,4.23,3.75,1
2,7.29,8.86,1
2,4.57,8.62,0
1,0.62,7.63,0
2,9.99,0.61,1
1,5.67,6.62,1
1,2.46,2.48,1
1,3.37,6.07,1
2,0.24,4.51,1
2,4.63,1.77,0
1,7.15,7.43,1
1,5.89,6.44,1
2,7.74,3.06,0
1,6.3,9.28,0
2,7.54,1.57,1
2,3.78,7.86,0
1,1.1,7.62,0
2,3.16,6.67,0
2,4.0,7.43,0
2,7.63,3.22,0
1,4.78,1.31,1
2,4.44,6.91,0
1,7.77,2.88,1
1,9.66,9.96,0
2,4.45,1.3,0
2,6.56,5.72,0
1,2.5,9.2,0
1,7.76,2.42,1
2,4.44,8.29,0
1,6.37,3.03,1
2,9.38,2.66,1
2,3.03,3.71,0
1,8.07,3.88,1
2,0.32,6.69,1
2,6.09,1.78,0
2,7.08,2.77,0
2,6.91,3.49,0
2,1.67,5.94,0
1,5.14,3.48,1
2,6.06,6.81,0
1,3.69,9.45,0
1,2.24,4.44,1
1,0.29,6.58,0
2,8.15,1.55,1
2,3.19,5.49,0
1,3.15,6.96,1
2,9.58,1.29,1
2,0.84,0.52,1
2,8.19,9.69,1
2,2.72,0.11,1
1,1.0,8.18,0
1,3.79,1.07,0
1,2.08,9.45,0
2,7.46,6.36,0
1,0.93,9.59,0
1,2.14,8.33,0
2,6.4,7.16,0
1,4.61,1.19,1
1,7.42,0.56,0
1,3.67,8.82,0
1,0.6,0.71,0
2,2.22,6.45,0
2,8.85,5.44,0
1,1.83,3.47,1
2,2.49,7.96,0
1,4.66,8.03,1
2,4.79,9.61,1
2,4.53,4.81,1
2,1.08,8.93,1
1,7.98,3.49,1
2,8.91,4.31,0
2,6.69,5.17,0
1,9.16,3.8,0
2,1.33,4.78,0
1,4.12,5.29,0
1,1.61,2.46,0
1,0.49,8.89,0
2,6.11,2.9,0
2,7.71,3.59,0
1,3.67,6.31,1
1,6.57,6.43,1
2,6.02,5.52,0
1,9.12,9.43,0
1,1.73,1.65,0
1,9.96,7.36,0
1,5.81,4.47,0
2,4.65,6.68,0
2,8.88,7.21,1
1,5.21,9.67,0
1,7.4,8.5,0
1,2.67,7.46,1
1,0.65,5.19,0
1,5.29,7.21,1
1,6.28,7.11,1
2,9.3,2.62,1
2,9.65,3.17,1
2,9.69,6.76,1
1,0.99,4.2,0
1,7.75,5.0,1
2,0.07,2.37,1
2,1.37,3.06,1
1,2.39,4.72,1
2,5.38,8.04,0
1,0.93,5.65,0
1,2.75,3.38,1
2,8.6,5.19,0
1,0.43,2.79,0
1,1.95,5.92,1
2,6.11,4.86,0
1,4.71,7.67,1
1,5.16,1.47,1
2,0.18,9.59,1
2,1.17,8.99,1
1,4.91,8.5,1
2,4.75,5.72,1
2,0.61,0.92,1
2,2.1,8.39,1
