@relation TEST_ITEM_TRANS
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute Class {0,1}

@data
73.0,41.0,20.7,33.2,96.7,0.6,96.3,93.9,0
29.4,50.6,11.5,77.0,65.9,15.6,37.8,13.9,1
69.4,80.5,0.5,52.3,74.3,14.2,48.1,54.4,1
62.3,18.4,1.0,16.1,17.8,54.0,97.3,24.5,0
39.4,21.7,43.2,23.3,88.9,3.8,59.2,65.5,0
98.4,20.6,37.4,46.3,33.3,44.3,50.4,99.8,0
63.0,90.9,50.7,49.1,42.8,30.8,71.7,96.2,0
54.8,55.5,58.7,78.9,69.9,20.4,25.4,77.7,1
22.5,98.3,80.3,83.6,16.3,63.7,0.8,63.1,1
70.7,72.3,50.9,98.7,15.3,71.0,82.3,12.3,1
61.6,48.1,9.9,61.7,2.8,59.1,7.3,7.4,1
60.3,84.9,35.3,59.8,29.2,87.6,74.4,42.3,1
37.5,27.1,72.9,88.6,4.3,45.7,86.2,90.1,0
56.7,66.2,90.7,24.6,24.8,70.6,33.7,60.7,1
31.5,2.4,45.1,36.9,46.3,17.7,67.6,71.5,0
58.9,64.4,11.0,77.4,30.6,88.0,63.0,92.8,1
19.6,75.4,15.7,4.2,37.8,78.6,71.2,11.0,1
42.6,40.0,74.3,36.5,76.3,32.2,51.2,47.8,0
13.1,3.1,44.4,69.1,71.9,77.7,28.8,78.1,1
13.0,23.4,65.6,57.2,55.5,25.0,92.0,72.3,0
77.6,24.2,17.5,44.4,82.9,60.1,63.7,30.3,1
30.3,37.1,85.7,80.7,38.8,26.5,3.2,66.9,1
7.4,60.9,17.8,2.9,70.8,27.7,11.5,69.1,0
16.7,59.4,80.9,51.4,34.8,5.3,60.6,68.1,0
58.3,36.9,94.5,68.6,22.4,44.4,70.7,2.9,1
81.5,15.5,45.3,31.9,54.9,52.2,31.5,69.6,1
9.4,95.8,12.9,2.3,8.4,5.2,46.9,81.9,0
27.2,1.1,79.4,10.0,81.8,74.7,37.9,10.7,0
76.6,20.8,94.5,2.7,74.6,63.6,93.8,9.3,0
25.5,64.0,71.6,80.1,46.1,11.9,51.0,74.2,0
5.6,55.9,36.7,88.2,87.9,6.0,7.1,22.9,1
29.2,88.5,54.4,70.1,18.3,34.7,3.9,24.9,1
79.6,70.7,46.6,80.3,8.2,47.9,96.1,23.8,1
6.5,10.8,89.3,86.4,79.8,34.9,12.9,89.1,0
43.1,12.9,66.9,51.7,55.4,91.6,38.0,17.2,1
87.5,41.2,52.9,63.3,16.1,24.6,85.1,4.9,1
88.9,2.7,61.1,29.0,8.1,77.1,35.9,60.3,1
88.4,65.7,64.3,6.7,60.2,55.2,53.0,91.2,0
94.3,93.4,17.3,16.5,92.2,99.6,73.6,81.9,1
41.3,46.5,66.8,31.2,88.8,72.1,72.1,52.1,0
96.7,74.8,74.0,85.0,53.3,26.7,74.6,69.3,1
81.1,52.9,72.1,52.8,62.8,71.1,35.7,93.0,1
26.2,39.3,96.5,31.7,49.1,96.9,67.6,76.8,0
87.6,77.5,50.0,32.6,0.7,23.7,36.2,13.7,1
30.6,60.8,23.9,47.2,8.0,53.8,80.4,84.9,1
94.7,27.5,33.8,47.9,86.0,51.9,72.0,4.3,1
27.9,77.6,19.5,59.2,16.3,61.1,48.6,91.6,1
82.1,51.6,14.7,44.3,1.8,95.9,6.4,11.7,1
89.9,61.6,49.1,85.0,19.6,47.5,57.2,28.4,1
83.9,0.0,74.7,68.1,96.2,4.4,17.7,12.9,1
72.3,18.0,33.3,82.2,19.6,26.2,6.5,34.4,1
45.0,42.7,51.9,70.0,2.4,63.8,43.3,38.7,1
0.5,90.8,7.8,89.4,56.8,81.7,81.7,78.9,1
46.4,5.7,74.5,95.3,7.4,87.9,77.6,75.5,1
64.9,16.4,98.2,15.7,7.4,67.9,22.5,71.1,0
48.0,77.1,31.5,94.1,86.2,68.1,93.5,98.9,1
2.8,59.2,89.4,57.2,50.4,19.7,30.7,41.7,0
33.8,48.5,0.8,32.6,76.6,37.9,35.0,17.5,1
24.5,69.2,34.9,30.3,70.8,87.6,93.8,35.8,1
37.8,99.5,61.9,69.4,19.7,40.2,4.4,27.4,1
19.1,71.1,16.1,50.3,3.6,34.8,3.6,34.4,1
63.9,27.1,83.3,0.8,32.3,13.5,26.8,87.6,0
63.1,81.3,25.3,30.9,84.5,5.1,90.0,44.8,0
12.6,50.4,67.0,12.2,95.9,50.2,10.8,47.7,0
98.3,39.7,21.3,55.9,61.4,73.6,11.7,83.4,1
66.7,84.4,86.3,69.5,86.9,63.5,18.5,46.3,1
7.5,29.6,60.8,12.0,66.9,20.9,0.0,87.7,0
56.7,20.7,39.5,65.0,16.2,13.9,86.6,4.6,1
19.4,91.9,91.1,99.4,24.0,84.7,3.6,13.9,1
64.7,86.6,86.6,95.1,24.6,27.0,34.5,14.9,1
95.1,83.3,60.6,39.0,30.6,78.8,25.3,35.7,1
78.6,73.4,15.6,2.7,78.2,64.8,37.6,83.6,1
41.8,99.1,43.2,98.1,71.9,31.4,51.7,96.8,1
1.4,64.2,80.5,13.5,84.4,92.9,19.9,29.3,1
49.7,47.3,38.1,73.4,67.6,85.0,21.4,64.1,1
73.1,5.8,64.4,33.6,78.9,68.7,48.0,88.7,0
89.0,80.7,40.0,51.3,44.7,85.1,5.7,56.0,1
68.8,92.6,0.4,84.5,12.9,87.0,42.1,29.6,1
66.7,4.8,89.7,37.3,9.6,1.1,45.6,82.0,0
62.5,93.3,37.9,93.8,35.8,9.9,6.6,1.3,1
20.1,61.5,81.3,75.9,28.7,7.3,47.3,52.8,0
70.6,78.2,56.7,53.0,82.7,12.9,66.3,34.3,0
70.3,40.1,13.3,94.6,64.5,27.1,52.2,67.8,1
73.2,67.3,62.6,92.1,8.0,99.6,0.7,67.0,1
15.0,82.9,48.9,49.6,72.6,8.8,90.6,79.9,0
27.5,58.2,45.6,7.0,39.9,88.7,48.0,67.1,1
20.8,16.9,99.4,24.2,96.7,94.4,22.6,89.5,0
59.0,93.7,25.8,42.0,88.1,51.7,44.4,53.5,1
86.1,69.7,88.2,25.8,6.0,4.0,16.0,11.2,1
83.5,61.7,6.9,20.3,91.1,24.5,37.0,30.7,1
6.8,31.3,70.1,8.2,52.6,10.8,42.2,86.6,0
11.3,29.1,12.8,77.9,65.2,44.8,60.2,54.3,1
28.5,83.6,79.0,9.7,91.7,94.7,24.2,40.7,1
38.3,13.0,40.1,20.9,11.4,90.9,28.1,23.7,1
94.5,9.5,90.9,12.7,9.5,20.9,78.7,61.2,0
49.7,95.4,29.6,93.1,64.2,34.9,75.1,40.1,1
75.9,82.9,44.3,77.7,58.9,58.1,61.0,81.3,1
48.5,25.0,29.2,0.8,21.0,96.1,28.9,49.0,1
46.0,79.5,95.0,47.1,80.4,52.4,12.6,55.5,1
12.8,83.8,14.6,78.8,85.3,14.3,44.6,94.8,1
8.2,74.6,51.8,17.4,47.0,63.0,4.1,86.2,1
12.2,91.6,85.3,6.7,71.6,22.2,49.2,35.8,0
22.3,42.0,69.6,79.3,73.2,95.7,77.8,32.0,1
83.8,16.2,91.4,50.3,63.9,31.5,72.6,51.6,0
6.4,97.4,32.3,93.3,53.6,3.4,67.1,53.5,1
66.7,28.8,55.4,0.3,83.6,64.8,67.5,71.2,0
55.0,1.2,39.8,99.2,11.3,94.2,9.5,5.5,1
19.5,71.6,50.0,97.7,69.4,9.4,54.5,46.0,1
73.1,90.9,62.2,95.6,96.1,91.4,28.2,44.9,1
64.5,78.9,85.4,36.7,59.6,8.4,87.6,14.0,0
26.5,17.2,20.9,97.5,98.9,77.1,5.9,11.2,1
49.3,92.5,40.6,51.5,62.8,86.7,30.7,76.0,1
57.3,47.2,1.4,28.2,70.8,99.1,30.5,15.6,1
76.3,48.5,86.2,3.8,32.6,20.7,13.9,31.5,0
80.3,93.4,36.2,27.6,90.5,67.1,63.8,38.0,1
81.5,68.5,23.7,38.2,15.7,94.1,65.0,5.3,1
48.4,89.3,20.8,60.6,70.7,21.8,73.9,62.6,1
53.5,76.2,7.5,65.1,68.5,25.3,20.6,10.8,1
40.7,19.4,41.7,53.8,77.0,69.8,49.2,93.1,1
89.8,90.2,86.6,24.1,39.2,29.6,79.1,44.0,0
81.8,86.1,29.1,34.3,4.7,74.7,1.7,93.9,1
7.8,39.2,89.3,89.6,13.3,52.4,40.6,77.5,1
55.1,84.5,75.9,93.5,62.3,49.2,68.5,46.3,1
33.8,15.3,47.5,20.9,15.0,19.6,11.7,56.0,0
65.6,83.1,10.3,16.2,12.8,27.6,39.2,74.0,1
91.2,71.6,57.2,89.9,35.3,33.0,11.0,30.3,1
39.9,21.1,10.2,86.4,42.8,66.7,37.7,32.7,1
79.0,13.7,78.8,80.5,37.4,81.0,1.7,66.5,1
